User-ID_x,Similarity
254,0.06543279239943695
11676,0.04208822698932705
14422,0.1907435698305462
16634,0.033964016468633396
26544,0.03414802408943918
28360,0.06604088253131131
29259,0.0625
35859,0.054583639049126324
39773,0.09049875621120891
40943,0.06604088253131131
53174,0.09090909090909091
68436,0.09049875621120891
69971,0.16666666666666666
78553,0.4142135623730951
87555,0.047619047619047616
93426,0.06604088253131131
96448,0.06604088253131131
100906,0.5
101851,0.062113078724852416
102967,0.04711703043175658
107523,0.09090909090909091
110973,0.054583639049126324
135149,0.03922353493794955
150896,0.052402273987807134
153662,1.0
156150,1.0
165319,0.11978243827074593
166123,0.06543279239943695
169682,0.06075472619218616
171118,0.125
177432,0.3333333333333333
184299,0.08741024545287546
211426,0.04756246098625196
212142,0.0877785499571333
212628,0.0889129881342269
214786,0.06604088253131131
220688,0.06604088253131131
230522,0.06588723439378913
234828,1.0
237407,0.10351694645735657
238120,0.054583639049126324
240144,0.06604088253131131
242639,0.06543279239943695
254206,1.0
259901,0.05449783857632491
265313,0.05449783857632491
